user,course,nexecuted,exercises,l_trials_exercices
id100,A,398,108,3.685185185185185
id101,A,479,117,4.094017094017094
id102,A,472,115,4.104347826086957
id103,A,594,117,5.076923076923077
id104,A,546,118,4.627118644067797
id106,A,379,94,4.031914893617022
id107,A,702,117,6
id109,A,333,117,2.8461538461538463
id110,A,433,118,3.669491525423729
id111,A,415,117,3.547008547008547
id112,A,452,116,3.896551724137931
id113,A,443,116,3.8189655172413794
id114,A,498,118,4.220338983050848
id115,A,608,118,5.1525423728813555
id116,C,65,24,2.7083333333333335
id117,C,103,21,4.904761904761905
id118,C,50,24,2.0833333333333335
id119,C,74,23,3.217391304347826
id120,C,53,24,2.2083333333333335
id121,C,79,24,3.2916666666666665
id122,A,482,109,4.422018348623853
id123,C,71,24,2.9583333333333335
id124,C,48,18,2.6666666666666665
id125,C,55,24,2.2916666666666665
id126,C,101,24,4.208333333333333
id127,C,76,24,3.1666666666666665
id128,C,100,24,4.166666666666667
id129,C,63,22,2.8636363636363638
id130,C,70,24,2.9166666666666665
id131,C,77,24,3.2083333333333335
id132,C,107,24,4.458333333333333
id133,C,73,24,3.0416666666666665
id134,C,85,24,3.5416666666666665
id135,C,86,24,3.5833333333333335
id137,C,96,24,4
id138,C,70,24,2.9166666666666665
id139,C,116,24,4.833333333333333
id140,A,511,105,4.866666666666666
id141,A,584,118,4.9491525423728815
id143,C,87,21,4.142857142857143
id144,A,441,116,3.8017241379310347
id145,A,314,117,2.6837606837606836
id146,A,951,118,8.059322033898304
id147,A,489,118,4.1440677966101696
id148,A,519,118,4.398305084745763
id149,A,472,114,4.140350877192983
id151,A,419,118,3.5508474576271185
id152,A,358,118,3.0338983050847457
id153,A,205,116,1.7672413793103448
id155,A,385,118,3.26271186440678
id156,C,104,19,5.473684210526316
id158,A,500,118,4.237288135593221
id160,A,501,110,4.554545454545455
id161,A,230,82,2.8048780487804876
id26,B,128,14,9.142857142857142
id27,B,151,44,3.4318181818181817
id28,B,124,44,2.8181818181818183
id29,B,150,42,3.5714285714285716
id30,B,163,47,3.4680851063829787
id31,B,161,47,3.425531914893617
id32,B,222,47,4.723404255319149
id33,B,2,1,2
id34,B,221,48,4.604166666666667
id35,B,54,11,4.909090909090909
id36,B,191,48,3.9791666666666665
id37,B,187,48,3.8958333333333335
id38,B,177,47,3.765957446808511
id39,B,194,42,4.619047619047619
id40,B,190,47,4.042553191489362
id41,B,180,46,3.9130434782608696
id42,B,262,48,5.458333333333333
id43,B,236,48,4.916666666666667
id44,B,185,45,4.111111111111111
id45,B,218,48,4.541666666666667
id46,B,162,42,3.857142857142857
id47,B,168,48,3.5
id48,B,194,48,4.041666666666667
id49,B,307,47,6.531914893617022
id50,B,197,48,4.104166666666667
id51,B,150,46,3.260869565217391
id52,B,195,43,4.534883720930233
id53,B,179,48,3.7291666666666665
id54,B,207,48,4.3125
id55,B,176,48,3.6666666666666665
id56,B,128,40,3.2
id57,B,207,48,4.3125
id58,B,203,47,4.319148936170213
id59,B,163,44,3.7045454545454546
id60,B,140,48,2.9166666666666665
id61,B,170,47,3.617021276595745
id62,B,154,40,3.85
id63,B,149,48,3.1041666666666665
id67,B,166,46,3.608695652173913
id69,B,41,11,3.727272727272727
id75,C,73,23,3.1739130434782608
id79,A,105,29,3.6206896551724137
id80,A,779,118,6.601694915254237
id81,A,452,113,4
id82,A,181,88,2.0568181818181817
id83,A,344,110,3.1272727272727274
id84,A,457,112,4.080357142857143
id86,A,449,118,3.805084745762712
id87,A,507,117,4.333333333333333
id89,A,610,118,5.169491525423729
id90,A,422,116,3.6379310344827585
id91,A,533,118,4.516949152542373
id92,A,373,115,3.243478260869565
id94,A,543,116,4.681034482758621
id96,A,485,118,4.110169491525424
id97,A,493,115,4.28695652173913
id98,A,441,112,3.9375
id99,A,398,116,3.4310344827586206
